"Genome ID","Genome Name","Version","PBP1a","PBP2b","PBP2x","amx","amxMic","croMeningitis","croMic","croNonMeningitis","ctxMeningitis","ctxMic","ctxNonMeningitis","cxm","cxmMic","mem","memMic","penMeningitis","penMic","penNonMeningitis"
"64d3c1cf177ad459e05ab144","AYCs031","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad45a705ab170","AYCs086","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad45deb5ab16c","AYCs082","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad463a25ab132","AYCs013","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad467d95ab14d","AYCs045","v0.0.1","2","0","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad468505ab149","AYCs037","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad469235ab16b","AYCs081","v0.0.1","1","2","114","S","= 0.12","S","<= 0.5","S","S","= 0.25","S","I","= 1","S","= 0.12","R","= 0.25","S"
"64d3c1cf177ad46a615ab13c","AYCs023","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad46e1e5ab158","AYCs061","v0.0.1","23","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad46e9c5ab156","AYCs057","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad46f785ab135","AYCs016","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad471b55ab131","AYCs012","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad471c95ab166","AYCs076","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad473b65ab148","AYCs036","v0.0.1","3","0","NEW","S","<= 0.03","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad477185ab139","AYCs020","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4779d5ab172","AYCs088","v0.0.1","1","2","NEW","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad47ad85ab159","AYCs062","v0.0.1","23","2","21","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad485835ab167","AYCs077","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad487005ab161","AYCs071","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad48aec5ab12f","AYCs010","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad48fa05ab15f","AYCs069","v0.0.1","1","NF","2","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad495b85ab177","AYCs093","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad498495ab12b","AYCs006","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4a5395ab178","AYCs094","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad4a5eb5ab14b","AYCs041","v0.0.1","15","0","NEW","S","= 0.25","S","<= 0.5","S","S","= 0.12","S","R","= 2","S","= 0.12","R","= 0.12","S"
"64d3c1cf177ad4ac515ab145","AYCs033","v0.0.1","2","0","3","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4ae6b5ab13f","AYCs026","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4b28d5ab14c","AYCs042","v0.0.1","15","0","NEW","S","= 0.25","S","<= 0.5","S","S","= 0.12","S","R","= 2","S","= 0.12","R","= 0.12","S"
"64d3c1cf177ad4b3355ab147","AYCs035","v0.0.1","2","0","5","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4b4165ab146","AYCs034","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad4bea05ab13a","AYCs021","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4c35e5ab13b","AYCs022","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4c6d65ab179","AYCs095","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4c8955ab16e","AYCs084","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4ca9c5ab14e","AYCs047","v0.0.1","2","0","0","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4cd885ab171","AYCs087","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4d1ff5ab176","AYCs092","v0.0.1","2","0","NF","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad4da2e5ab12a","AYCs005","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4dad25ab168","AYCs078","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4db1c5ab16f","AYCs085","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4dddc5ab14a","AYCs038","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad4e2dd5ab164","AYCs074","v0.0.1","NF","6","NF","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad4e53d5ab15e","AYCs068","v0.0.1","3","2","5","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4f74c5ab15d","AYCs067","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4f9bc5ab160","AYCs070","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4fd2d5ab14f","AYCs048","v0.0.1","2","0","NEW","S","<= 0.03","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad4ffed5ab141","AYCs028","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
