"Genome ID","Genome Name","Version","Library Version","Variants","Acquired"
"665a03fda05b971c48c908de","2683467_7","v3.0.1","0.0.16","",""
"665a03fda05b971d43c908a5","15BC_WT","v3.0.1","0.0.16","",""
"665a03fda05b971d4bc90908","AYCs012","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b971e40c90940","AYCs078","v3.0.1","0.0.16","","aph_3prime_III_1"
"665a03fda05b971e44c90944","AYCs082","v3.0.1","0.0.16","",""
"665a03fda05b971e7fc908ac","2662245_E1","v3.0.1","0.0.16","",""
"665a03fda05b971ef1c90943","AYCs081","v3.0.1","0.0.16","",""
"665a03fda05b972008c9090b","AYCs015","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b972154c908e7","2683476_16","v3.0.1","0.0.16","",""
"665a03fda05b972233c9091d","AYCs034","v3.0.1","0.0.16","",""
"665a03fda05b9725a2c9094c","AYCs090","v3.0.1","0.0.16","",""
"665a03fda05b9727cfc908eb","2683480_20","v3.0.1","0.0.16","",""
"665a03fda05b9727f9c90905","AYCs009","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b972828c908fd","AYCs001","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b9728acc908ca","2662275_C5","v3.0.1","0.0.16","",""
"665a03fda05b972cfbc908ec","2683481_21","v3.0.1","0.0.16","",""
"665a03fda05b972dfec908b5","2662254_F2","v3.0.1","0.0.16","","mefA_10"
"665a03fda05b97314ec90939","AYCs071","v3.0.1","0.0.16","",""
"665a03fda05b973234c908aa","2662243_C1","v3.0.1","0.0.16","",""
"665a03fda05b973298c90921","AYCs038","v3.0.1","0.0.16","",""
"665a03fda05b97339fc908b2","2662251_C2","v3.0.1","0.0.16","folP_aa_insert_57-70",""
"665a03fda05b9735c6c908b4","2662253_E2","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b97361ec9093c","AYCs074","v3.0.1","0.0.16","",""
"665a03fda05b9736bcc90920","AYCs037","v3.0.1","0.0.16","",""
"665a03fda05b9736bdc90941","AYCs079","v3.0.1","0.0.16","",""
"665a03fda05b9736c1c908a4","15BC_KO","v3.0.1","0.0.16","","aph_3prime_III_1"
"665a03fda05b973a9dc908d9","2683462_2","v3.0.1","0.0.16","",""
"665a03fda05b973ba8c9091c","AYCs033","v3.0.1","0.0.16","",""
"665a03fda05b973cd8c90927","AYCs048","v3.0.1","0.0.16","",""
"665a03fda05b973de5c908d0","2662281_A6","v3.0.1","0.0.16","",""
"665a03fda05b9741a5c908ff","AYCs003","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b9741bcc90904","AYCs008","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b9743ebc90919","AYCs029","v3.0.1","0.0.16","",""
"665a03fda05b974535c90951","AYCs095","v3.0.1","0.0.16","","aph_3prime_III_1"
"665a03fda05b97477ac908e3","2683472_12","v3.0.1","0.0.16","",""
"665a03fda05b9747edc908e8","2683477_17","v3.0.1","0.0.16","",""
"665a03fda05b9749fcc90937","AYCs069","v3.0.1","0.0.16","",""
"665a03fda05b974a25c908c2","2662267_C4","v3.0.1","0.0.16","",""
"665a03fda05b974a29c908db","2683464_4","v3.0.1","0.0.16","",""
"665a03fda05b974c00c908f3","2683488_28","v3.0.1","0.0.16","",""
"665a03fda05b974d15c90915","AYCs025","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b974db5c90931","AYCs062","v3.0.1","0.0.16","",""
"665a03fda05b974e62c908ef","2683484_24","v3.0.1","0.0.16","",""
"665a03fda05b974eefc90935","AYCs067","v3.0.1","0.0.16","",""
